as_of_date,market_id,sector,soft_target_class,lambda_value,lambda_score_h5,lambda_score_h21,lambda_score_h63
2020-03-19,US_EQ,Communication Services,FRAGILE,-0.2529640034852681,-0.35692104153293064,-0.1314651943296431,0.0
2020-03-19,US_EQ,Communication Services,TARGETABLE,0.38590809121031,-0.2642827053343266,-0.9122800768818455,0.0
2020-03-19,US_EQ,Consumer Defensive,FRAGILE,-0.3679132513798223,-0.348186707464418,0.11991329265197631,0.0
2020-03-19,US_EQ,Consumer Defensive,TARGETABLE,-0.1347909522290759,-0.34580735004277074,-0.4105731974955794,0.0
2020-03-19,US_EQ,Consumer Defensive,WATCH,-0.8520589047393741,-0.14389230251221952,0.31066907371457986,0.0
2020-03-19,US_EQ,Financial Services,TARGETABLE,0.5030695999010939,-0.31335540958086944,-0.8845380813786152,0.0
2020-03-19,US_EQ,Healthcare,FRAGILE,0.1183259705961043,-0.28696214569674255,-0.4894220678316928,0.0
2020-03-19,US_EQ,Healthcare,TARGETABLE,0.5113567346432997,-0.0922094142626525,-0.4521654283821844,0.0
2020-03-19,US_EQ,Industrials,TARGETABLE,0.6609170064218303,-0.6042901399199208,-0.5628619166756874,0.0
2020-03-19,US_EQ,Real Estate,FRAGILE,0.8291961118316414,-0.498312401279626,0.0,0.0
2020-03-19,US_EQ,Technology,TARGETABLE,-0.267117872331814,-0.2930020188083277,-0.30138098075911685,0.0
2020-03-19,US_EQ,Utilities,FRAGILE,-1.0205373829472886,-0.1728113823123456,0.0,0.0
2020-03-19,US_EQ,Utilities,TARGETABLE,-0.1275340865197793,-0.25801776475259364,-0.8187614405178015,0.0
2020-03-20,US_EQ,Communication Services,TARGETABLE,0.2287253778196938,-0.47890184109745515,-0.9423810733798451,0.0
2020-03-20,US_EQ,Consumer Cyclical,TARGETABLE,1.203072193078268,-0.6092605205866228,-1.2336546309008904,0.0
2020-03-20,US_EQ,Consumer Defensive,FRAGILE,-0.4910949568541141,-0.3649658364002435,0.1523346525111185,0.0
2020-03-20,US_EQ,Consumer Defensive,TARGETABLE,-0.249507311758705,-0.30902160092525355,-0.25427490908480976,0.0
2020-03-20,US_EQ,Consumer Defensive,WATCH,-0.8592696287516225,-0.0742054331418075,0.4815759882338793,0.0
2020-03-20,US_EQ,Healthcare,FRAGILE,0.0143373876145302,-0.2608047933050818,-0.5943380447448912,0.0
2020-03-20,US_EQ,Healthcare,TARGETABLE,0.4700344293643421,-0.1300260267720464,-0.6772026920331611,0.0
2020-03-20,US_EQ,Industrials,TARGETABLE,0.5023160040468422,-0.24491222219184716,-0.12875621401136594,0.0
2020-03-20,US_EQ,Real Estate,TARGETABLE,0.4474208573614314,-0.28814048854871016,-1.0930400511891725,0.0
2020-03-20,US_EQ,Technology,TARGETABLE,-0.3059152901551265,-0.2897524230580438,-0.2599552230889565,0.0
2020-03-23,US_EQ,Communication Services,TARGETABLE,0.1248371851958971,-0.37424337110842004,-0.9926241346515978,0.0
2020-03-23,US_EQ,Consumer Defensive,FRAGILE,-0.5085612237705408,-0.2820527454379893,0.06724743887641732,0.0
2020-03-23,US_EQ,Consumer Defensive,TARGETABLE,-0.3121247513777958,-0.31333290977415235,-0.008354172206193833,0.0
2020-03-23,US_EQ,Healthcare,FRAGILE,-0.0385542621269538,-0.27834446318203115,-0.552015159932773,0.0
2020-03-23,US_EQ,Healthcare,TARGETABLE,0.525548997282996,0.005844480007486608,-0.6215695018138816,0.0
2020-03-23,US_EQ,Industrials,TARGETABLE,0.3617256870133648,-0.457338717441536,-0.3191766473294411,0.0
2020-03-23,US_EQ,Real Estate,TARGETABLE,0.3925678623780963,-0.1011629938511931,-0.8431915726380784,0.0
2020-03-23,US_EQ,Technology,TARGETABLE,-0.3602902908288545,-0.27423842564710627,-0.1225209736171406,0.0
2020-03-24,US_EQ,Communication Services,TARGETABLE,0.0102266145603906,-0.3523936939716635,-0.8309278750289295,0.0
2020-03-24,US_EQ,Consumer Defensive,FRAGILE,-0.5215245397753652,-0.24599161501715194,0.15959067982827718,0.0
2020-03-24,US_EQ,Consumer Defensive,TARGETABLE,-0.3532621168956981,-0.31113655431522247,-0.023686679704667313,0.0
2020-03-24,US_EQ,Healthcare,FRAGILE,-0.0685282231524711,-0.27372862371256895,-0.616692521817708,0.0
2020-03-24,US_EQ,Healthcare,TARGETABLE,0.5397339270157198,0.041311902306750414,-0.5855620825373339,0.0
2020-03-24,US_EQ,Industrials,TARGETABLE,0.2327043040179142,-0.457338717441536,-0.4280654177647088,0.0
2020-03-24,US_EQ,Real Estate,TARGETABLE,0.3530599166088952,-0.1264498659706423,-0.8128230249706327,0.0
2020-03-24,US_EQ,Technology,TARGETABLE,-0.3920357163748053,-0.2849054245314494,-0.2226144779361341,0.0
2020-03-25,US_EQ,Communication Services,TARGETABLE,-0.0787274808014636,-0.4131339321632883,-0.5116833907700185,0.0
2020-03-25,US_EQ,Consumer Defensive,FRAGILE,-0.548162157160356,-0.2915029783191696,0.06661759663362005,0.0
2020-03-25,US_EQ,Consumer Defensive,TARGETABLE,-0.3891969515469538,-0.3010907287469945,0.0025682363737338787,0.0
2020-03-25,US_EQ,Healthcare,FRAGILE,-0.1014743870591078,-0.2734658017225733,-0.39876621275354296,0.0
2020-03-25,US_EQ,Healthcare,TARGETABLE,0.5839030379742312,0.04118962722168973,-0.858238026634921,0.0
2020-03-25,US_EQ,Industrials,TARGETABLE,0.1269689704356581,-0.30282261186027376,-0.36183820805814737,0.0
2020-03-25,US_EQ,Real Estate,TARGETABLE,0.2969533272527204,-0.13865700684455085,-0.8073513642202785,0.0
2020-03-25,US_EQ,Technology,TARGETABLE,-0.4189361966702138,-0.2606247992773177,-0.20902762303465044,0.0
2020-03-26,US_EQ,Communication Services,TARGETABLE,-0.2009402387607756,-0.3755073901836591,-0.3478040572695783,0.0
2020-03-26,US_EQ,Consumer Cyclical,TARGETABLE,1.101060081659893,-0.5186399244902028,-1.0255663486049493,0.0
2020-03-26,US_EQ,Consumer Defensive,FRAGILE,-0.6024774648710047,-0.2943935737935053,0.06272724791746054,0.0
2020-03-26,US_EQ,Consumer Defensive,TARGETABLE,-0.4470183906147779,-0.30483071089617586,-0.041818633131744776,0.0
2020-03-26,US_EQ,Healthcare,FRAGILE,-0.0938527863416888,-0.22427501364277352,-0.39081954933556984,0.0
2020-03-26,US_EQ,Healthcare,TARGETABLE,0.54786643607534,-0.11624022718706584,-0.6882627200073288,0.0
2020-03-26,US_EQ,Industrials,TARGETABLE,0.0168848077438293,-0.34947435437732327,-0.48340317941279964,0.0
2020-03-26,US_EQ,Real Estate,TARGETABLE,0.2264650392185823,-0.17678436118507465,-0.7304311068746544,0.0
2020-03-26,US_EQ,Technology,TARGETABLE,-0.4456654715687255,-0.28599886279326125,-0.14970256067106225,0.0
2020-03-27,US_EQ,Communication Services,TARGETABLE,-0.305867052742224,-0.3552413123408587,0.000988460968490923,0.0
2020-03-27,US_EQ,Consumer Cyclical,TARGETABLE,1.0011028751259796,-0.494393349738785,-0.7639669368227614,0.0
2020-03-27,US_EQ,Consumer Defensive,FRAGILE,-0.6663845072020226,-0.25462617227398787,0.1945554241862566,0.0
2020-03-27,US_EQ,Consumer Defensive,TARGETABLE,-0.4686824257444748,-0.29223318999241726,-0.039124248277015605,0.0
2020-03-27,US_EQ,Healthcare,FRAGILE,-0.1516563071493162,-0.2881004432816504,-0.4336752230102112,0.0
2020-03-27,US_EQ,Healthcare,TARGETABLE,0.5272543745822103,-0.10523423187907738,-0.6799017487622446,0.0
2020-03-27,US_EQ,Industrials,TARGETABLE,-0.0755613856201605,-0.3068537657290813,-0.446261880628583,0.0
2020-03-27,US_EQ,Real Estate,TARGETABLE,0.1320690359766984,-0.11584472157865311,-0.6701605252929212,0.0
2020-03-27,US_EQ,Technology,TARGETABLE,-0.471147836142292,-0.2785632088600219,-0.07211593146781642,0.0
2020-03-27,US_EQ,Utilities,TARGETABLE,-0.2064386640378661,-0.23891421985346312,-0.5205451824508558,0.0
2020-03-30,US_EQ,Communication Services,TARGETABLE,-0.376410052882807,-0.36303676794435996,-0.13294903474301017,0.0
2020-03-30,US_EQ,Consumer Cyclical,TARGETABLE,0.8925245680905521,-0.49269133741392135,-0.6799954658481986,0.0
2020-03-30,US_EQ,Consumer Defensive,FRAGILE,-0.7403625948576537,-0.2213110726094445,0.259313169873343,0.0
2020-03-30,US_EQ,Consumer Defensive,TARGETABLE,-0.5333267341878718,-0.29891442054403383,-0.08313088186974915,0.0
2020-03-30,US_EQ,Financial Services,TARGETABLE,0.4976002168657046,-0.12959131367670834,-0.820227174072384,0.0
2020-03-30,US_EQ,Healthcare,FRAGILE,-0.1770960960116007,-0.3024234549245678,-0.34680039775420013,0.0
2020-03-30,US_EQ,Healthcare,TARGETABLE,0.4784920584114125,-0.1369933005649413,-0.7622992101892542,0.0
2020-03-30,US_EQ,Industrials,TARGETABLE,-0.1836099413405583,-0.19530119033328674,-0.33650075911281496,0.0
2020-03-30,US_EQ,Real Estate,TARGETABLE,0.0461946187578123,-0.28157412227321116,-0.7065896914357189,0.0
2020-03-30,US_EQ,Technology,TARGETABLE,-0.5292094730075863,-0.27378714652239267,-0.0526077008757464,0.0
2020-03-30,US_EQ,Utilities,TARGETABLE,-0.3074475844056061,-0.2567645271447548,-0.2459154335378702,0.0
2020-03-31,US_EQ,Communication Services,TARGETABLE,-0.4000619743889527,-0.3126389302594727,-0.1503506737706541,0.0
2020-03-31,US_EQ,Consumer Cyclical,TARGETABLE,0.8581733423950678,-0.43388626100753663,-0.8093816484034435,0.0
2020-03-31,US_EQ,Consumer Defensive,FRAGILE,-0.833847528720621,-0.20560989616614533,0.29778697348874983,0.0
2020-03-31,US_EQ,Consumer Defensive,TARGETABLE,-0.6456493154652101,-0.28329275440224533,0.09208135115618343,0.0
2020-03-31,US_EQ,Healthcare,FRAGILE,-0.1954488578014954,-0.23009925479549592,-0.2941088915215799,0.0
2020-03-31,US_EQ,Healthcare,TARGETABLE,0.4250097229676551,-0.11864809680146299,-0.5510436925940914,0.0
2020-03-31,US_EQ,Industrials,TARGETABLE,-0.2862122577483554,-0.302625495889525,-0.16701750772479473,0.0
2020-03-31,US_EQ,Real Estate,TARGETABLE,0.0060573420688775,-0.0890564670358345,-0.5685101129857333,0.0
2020-03-31,US_EQ,Technology,TARGETABLE,-0.572340764445375,-0.2710799997622716,-0.03369847639782986,0.0
2020-03-31,US_EQ,Utilities,TARGETABLE,-0.4328647590662997,-0.279639660543411,0.0,0.0
2020-04-01,US_EQ,Consumer Cyclical,TARGETABLE,0.7880179775039823,-0.39693287987431886,-0.7530843829929025,0.0
2020-04-01,US_EQ,Consumer Defensive,FRAGILE,-0.9243310263890198,-0.1824543867950822,0.32109454347918187,0.0
2020-04-01,US_EQ,Consumer Defensive,TARGETABLE,-0.7458734291521247,-0.27600719908537164,0.2426651994939918,0.0
2020-04-01,US_EQ,Healthcare,FRAGILE,-0.2429205183695228,-0.30144123343610896,-0.2804812266972312,0.0
2020-04-01,US_EQ,Healthcare,TARGETABLE,0.3672794728869621,-0.16626938730931237,-0.5417061704279986,0.0
2020-04-01,US_EQ,Industrials,TARGETABLE,-0.3567227366216601,-0.28250857160764364,-0.08198941170150675,0.0
2020-04-01,US_EQ,Real Estate,TARGETABLE,-0.0862875042763232,-0.2763976975755443,-0.4830391938214233,0.0
2020-04-01,US_EQ,Technology,TARGETABLE,-0.5540753326587955,-0.19512006018715378,-0.02326101668241154,0.0
2020-04-02,US_EQ,Consumer Cyclical,TARGETABLE,0.7129587314952567,-0.2718952022810928,-0.4952230810208208,0.0
2020-04-02,US_EQ,Consumer Defensive,FRAGILE,-1.0075592297145857,-0.16876035631897413,0.08932492543827752,0.0
2020-04-02,US_EQ,Consumer Defensive,TARGETABLE,-0.813833409342499,-0.1745151805468279,-0.10746386469192448,0.0
2020-04-02,US_EQ,Healthcare,FRAGILE,-0.2844596345800378,-0.26004297715416785,-0.51497576548728,0.0
2020-04-02,US_EQ,Healthcare,TARGETABLE,0.3037840250368168,-0.2193433819964147,-0.26109495128440047,0.0
2020-04-02,US_EQ,Industrials,TARGETABLE,-0.4042042671574375,-0.26209387767014247,-0.47500426769537507,0.0
2020-04-02,US_EQ,Real Estate,TARGETABLE,-0.1418696734284124,-0.27296225088288023,-0.5251363981370242,0.0
2020-04-02,US_EQ,Technology,TARGETABLE,-0.5012351450565075,-0.10128070409024048,-0.23127602019810933,0.0
2020-04-02,US_EQ,Utilities,TARGETABLE,-0.583330111265662,-0.2389859486456486,0.0,0.0
2020-04-03,US_EQ,Consumer Defensive,FRAGILE,-1.0506683407669557,-0.07942542081736459,0.18157982119004612,0.0
2020-04-03,US_EQ,Consumer Defensive,TARGETABLE,-0.864587245832299,-0.13331497331231879,-0.11974492073767395,0.0
2020-04-03,US_EQ,Healthcare,FRAGILE,-0.3473753408410593,-0.253069478014248,-0.4864252789256383,0.0
2020-04-03,US_EQ,Healthcare,TARGETABLE,0.2774374362313085,-0.2292458126868635,-0.30333633925872744,0.0
2020-04-03,US_EQ,Industrials,TARGETABLE,-0.4539738120149327,-0.2551203785302226,-0.4579797112835976,0.0
2020-04-03,US_EQ,Real Estate,TARGETABLE,-0.1782877399508733,-0.10223273871513686,-0.3203243816879643,0.0
2020-04-03,US_EQ,Technology,TARGETABLE,-0.5977583043871073,-0.20269790926558195,-0.2807716121303576,0.0
2020-04-06,US_EQ,Communication Services,TARGETABLE,-0.4921477133234488,-0.3375073393626172,-0.19358556745385264,0.0
2020-04-06,US_EQ,Consumer Cyclical,TARGETABLE,0.6830739186757412,-0.24677914907368503,-0.4866142608805596,0.0
2020-04-06,US_EQ,Consumer Defensive,FRAGILE,-1.1522719562908028,-0.1477256688848485,0.18864349508224887,0.0
2020-04-06,US_EQ,Consumer Defensive,TARGETABLE,-0.8976552564913681,-0.11641967955058974,0.03711979301704704,0.0
2020-04-06,US_EQ,Financial Services,TARGETABLE,0.4938085532400644,-0.14882993288654095,-0.5386388411117279,0.0
2020-04-06,US_EQ,Healthcare,FRAGILE,-0.4618412888707358,-0.2727427450084669,-0.5190532729883706,0.0
2020-04-06,US_EQ,Healthcare,TARGETABLE,0.2749560956261578,-0.27624600679073924,-0.6175716875200343,0.0
2020-04-06,US_EQ,Industrials,TARGETABLE,-0.512544840439283,-0.25176655591663455,-0.41258421707266035,0.0
2020-04-06,US_EQ,Real Estate,TARGETABLE,-0.245234210623424,-0.2786943374030455,-0.4811806293965172,0.0
2020-04-06,US_EQ,Technology,TARGETABLE,-0.5787132876643123,-0.09484383810172814,-0.28178504900463,0.0
2020-04-06,US_EQ,Utilities,TARGETABLE,-0.7033212409594285,-0.22082229747127813,0.0,0.0
2020-04-07,US_EQ,Communication Services,TARGETABLE,-0.5457489689990559,-0.2653514670025575,-0.12879944738532445,0.0
2020-04-07,US_EQ,Consumer Cyclical,TARGETABLE,0.6400576379586073,-0.24677914907368503,-0.500928816432531,0.0
2020-04-07,US_EQ,Consumer Defensive,FRAGILE,-1.143681211604451,-0.011569471633343209,0.24142380158130572,0.0
2020-04-07,US_EQ,Consumer Defensive,TARGETABLE,-0.8904660022211859,-0.03122045860689926,0.08201718157401416,0.0
2020-04-07,US_EQ,Financial Services,TARGETABLE,0.4532428712984895,-0.1736585234264692,-0.6477236682387795,0.0
2020-04-07,US_EQ,Healthcare,FRAGILE,-0.5154242798512071,-0.25513639855974857,-0.49064266204173734,0.0
2020-04-07,US_EQ,Healthcare,TARGETABLE,0.2765499753818505,-0.11442473591330743,-0.5907271937846325,0.0
2020-04-07,US_EQ,Industrials,TARGETABLE,-0.5047147082421926,-0.17890406422534655,-0.42379860370252465,0.0
2020-04-07,US_EQ,Real Estate,TARGETABLE,-0.3024000729392286,-0.26600477177248644,-0.35107525817467417,0.0
2020-04-07,US_EQ,Technology,TARGETABLE,-0.5924077540255572,-0.17590973326315096,-0.24180391677445512,0.0
